School Name,Start Date,End Date,Notes,Degree Name,Activities
Gauhati University,Aug 2019,Feb 2022,Specialisation in Econometrics,Master in Science,
Gauhati University,Aug 2015,Jun 2018,,Bachelor in Science,
Kendriya vidyalaya ,Jul 2005,May 2015,,undergraduate,
